Budget Estimates 2022-2023 Revenue,Category,Ministry/Department,Scheme,Actuals 2021-2022 Capital,Actuals 2021-2022 Revenue,Actuals 2021-2022 Total,Budget Estimates 2022-2023 Capital,Budget Estimates 2022-2023 Total,Budget Estimates2023-2024 Capital,Budget Estimates2023-2024 Revenue,Budget Estimates2023-2024 Total,Revised Estimates 2022-2023 Revenue,Revised Estimates2022-2023 Revenue,Revised Estimates2022-2023 Total,Sl.No.
0,Demand No. 46,Department of Health and Family Welfare,COVID -19 Emergency Response and Health System Preparedness Package - EAP,215.59,430.68,646.27,0,0,0,1.78,1.78,0,1.78,1.78,369
200,Demand No. 46,Department of Health and Family Welfare,National Digital Health Mission - NHM,0,27.81,27.81,0,200,0,341.02,341.02,0,140,140,370
82,Demand No. 47,Department of Health Research,Setting up of nation wide network of laboratories for managing epidemics and national calamities,0,75.79,75.79,0,82,0,60,60,0,70,70,371
80,Demand No. 47,Department of Health Research,Development of Infrastructure for Promotion of Health Research,0,57.61,57.61,0,80,0,80,80,0,67,67,372
15,Demand No. 47,Department of Health Research,Development of tools/support to prevent outbreaks of epidemics,0,14.8,14.8,0,15,0,10,10,0,15,15,373
87.65,Demand No. 47,Department of Health Research,Human Resource and Capacity Development,0,59.9,59.9,0,87.65,0,92.06,92.06,0,84.65,84.65,374
0,Demand No. 47,Department of Health Research,COVID-19 Emergency Response and Health System Preparedness Package-EAP,0,489.24,489.24,0,0,0,0,0,0,0,0,375
690,Demand No. 47,Department of Health Research,Prime Minister's Ayushman Bharat Health Infrastructure Mission (PM-ABHIM)-Bio Security Preparedness and strengthening Pandemic Research and Multi Sector and National Institutions and Platform for One Health,0,116,116,0,690,0,324.36,324.36,0,378.27,378.27,376
2908.28,Demand No. 48,Ministry of Heavy Industries,Scheme for Faster Adoption and Manufacturing of (Hybrid and) Electric Vehicle in India - (FAME - India).,0,800,800,0,2908.28,0,5171.97,5171.97,0,2897.84,2897.84,377
5,Demand No. 48,Ministry of Heavy Industries,Development Council for Automobile and Allied Industries,17,4.7,21.7,23.62,28.62,0,0,0,0,5,5,378
3,Demand No. 48,Ministry of Heavy Industries,Production Linked Incentive (PLI) Scheme for Automobiles and Auto Components,0,0,0,0,3,0,604,604,0,10.74,10.74,379
3,Demand No. 48,Ministry of Heavy Industries,Production Linked Incentive (PLI) Scheme for National Programme on Advanced Chemistry Cell (ACC) Battery Storage,0,0,0,0,3,0,1,1,0,0.9,0.9,380
200,Demand No. 48,Ministry of Heavy Industries,Enhancement of Competitiveness in the Indian Capital Goods Sector,0,28.94,28.94,0,200,0,250,250,0,199.6,199.6,381
0.25,Demand No. 48,Ministry of Heavy Industries,Industry Associations and PSUs for undertaking promotional activities,0,0.05,0.05,0,0.25,0,0,0,0,0,0,382
299.76,Demand No. 49,Ministry of Home Affairs,Relief and Rehabilitation for migrants and repatriates,0,352.33,352.33,0,299.76,0,301.61,301.61,0,383.42,383.42,383
688.14,Demand No. 49,Ministry of Home Affairs,Freedom Fighters (pension and other benefits),0,729.2,729.2,0,688.14,0,653.08,653.08,0,654.95,654.95,384
116,Demand No. 49,Ministry of Home Affairs,Helicopter Services,0,101.06,101.06,0,116,0,126,126,0,111,111,385
NA,Demand No. 49,Ministry of Home Affairs,Infrastructure for Disaster Management,127.64,0,127.64,86.04,86.04,141.73,0,141.73,92.12,0,92.12,386
300,Demand No. 49,Ministry of Home Affairs,National Cyclone Risk Mitigation Project,0,169.99,169.99,0,300,0,0,0,0,0,0,387
106.74,Demand No. 49,Ministry of Home Affairs,Other Disaster Management Schemes,0,238.11,238.11,0,106.74,0,251.92,251.92,0,105.74,105.74,388
25,Demand No. 49,Ministry of Home Affairs,Civic Action Programme and Media Plan,0,23.94,23.94,0,25,0,30,30,0,15,15,389
175,Demand No. 51,Police,"IVFRT (Immigration, Visa and Foreigners Registration and Tracking)",0,148.39,148.39,0,175,0,229.25,229.25,0,175,175,390
30.74,Demand No. 51,Police,"BSF Air Wing, Aircrafts, River Boats and Helibase",67.41,19.47,86.88,126.59,157.33,56.49,21.69,78.18,43.12,16.56,59.68,391
227.5,Demand No. 51,Police,Border Infrastructure and Management,2377.74,284.37,2662.11,2517.02,2744.52,3194.42,350.61,3545.03,3471.34,267.64,3738.98,392
NA,Demand No. 51,Police,Police Infrastructure,2838.83,0,2838.83,3918.84,3918.84,3636.66,0,3636.66,2188.38,0,2188.38,393
5,Demand No. 51,Police,Narcotics Control Bureau,0,1.19,1.19,0,5,0,0,0,0,0,0,394
200,Demand No. 51,Police,Schemes for Safety of Women,-0.02,100.02,100,0,200,0,321,321,0,136.13,136.13,395
59,Demand No. 51,Police,Indian Cyber Crime Coordination Centre,0,1.11,1.11,0,59,0,94.4,94.4,0,25,25,396
43.2,Demand No. 51,Police,Modernization Plan IV for Central Armed Police Forces,23.32,7.6,30.92,205.1,248.3,170.55,31.72,202.27,130.19,24.21,154.4,397
590.6,Demand No. 51,Police,Inter Operable Criminal Justice System,0,0,0,0,590.6,0,590.6,590.6,0,105.2,105.2,398
150,Demand No. 51,Police,Emergency Response Support System,0,0,0,0,150,0,0,0,0,0,0,399
400,Demand No. 51,Police,Modernization of Prisons,0,50,50,0,400,0,250,250,0,100,100,400
28,Demand No. 51,Police,Women Help Desk /Strengthening of Anti Human Trafficking Bureau,0,0,0,0,28,0,0,0,0,0,0,401
300,Demand No. 51,Police,Modernization of Forensic Capacities,0,0,0,0,300,0,0,0,0,0,0,402
NA,Demand No. 60,Ministry of Housing and Urban Affairs,Metro Projects,23262,0,23262,19130,19130,19518,0,19518,15628.88,0,15628.88,403
0,Demand No. 60,Ministry of Housing and Urban Affairs,Kochi Metro Rail Project Phase 1 A,0,0,0,0,0,0,0,0,0,46.74,46.74,404
35,Demand No. 60,Ministry of Housing and Urban Affairs,Transport Planning and Capacity Building in Urban Transport,0,23.33,23.33,0,35,0,61.01,61.01,0,15.46,15.46,405
88,Demand No. 60,Ministry of Housing and Urban Affairs,National Capital Region Transport Corporation,0,188,188,4622,4710,3538,58,3596,4622,88,4710,406
NA,Demand No. 60,Ministry of Housing and Urban Affairs,Residential,816.32,1394.5,2210.82,873.02,873.02,667.33,0,667.33,1029.93,0,1029.93,407
NA,Demand No. 60,Ministry of Housing and Urban Affairs,Non-residential,1818.58,867.21,2685.79,2600.99,2600.99,2132.62,0,2132.62,2344.08,0,2344.08,408
0,Demand No. 60,Ministry of Housing and Urban Affairs,North Eastern Regional Urban Development Project (NERUDP),0,98.03,98.03,0,0,0,0,0,0,0,0,409
0.01,Demand No. 60,Ministry of Housing and Urban Affairs,Champion Services Sector Scheme - Nirman Kaushal Vikash Yojana,0,0,0,0,0.01,0,0,0,0,0,0,410
150,Demand No. 60,Ministry of Housing and Urban Affairs,Prime Minister's Street Vendors' Atmanirbhar Nidhi (PM SVANIDHI),0,297.82,297.82,0,150,0,468,468,0,433.94,433.94,411
2,Demand No. 60,Ministry of Housing and Urban Affairs,Public Health Engineering (PHE) Sector Development Scheme,0,1.66,1.66,0,2,0,2,2,0,2,2,412
315,Demand No. 61,Ministry of Information and Broadcasting,Prasar Bharati,0,161.68,161.68,0,315,0,0,0,0,315,315,413
184,Demand No. 61,Ministry of Information and Broadcasting,Information,0,211.21,211.21,0,184,0,0,0,0,194,194,414
101.51,Demand No. 61,Ministry of Information and Broadcasting,Films,21.09,56.76,77.85,25.65,127.16,0,0,0,25.65,101.35,127,415
3.84,Demand No. 61,Ministry of Information and Broadcasting,Strengthening of Broadcasting Activities,0,1.92,1.92,0,3.84,0,0,0,0,3,3,416
0,Demand No. 61,Ministry of Information and Broadcasting,Broadcasting Infrastructure Network Development,0,0,0,0,0,0,600,600,0,0,0,417
0,Demand No. 61,Ministry of Information and Broadcasting,Development Communication and Dissemination of Filmic Content,0,0,0,0,0,25.76,274.24,300,0,0,0,418
0,Demand No. 61,Ministry of Information and Broadcasting,Development Communication and Information Dissemination,0,0,0,0,0,0,200,200,0,0,0,419
0,Demand No. 61,Ministry of Information and Broadcasting,Supporting Community Radio Movement in India,0,0,0,0,0,0,5,5,0,0,0,420
44.24,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Farakka Barrage Project,24.36,-22.53,1.83,66.74,110.98,31.14,24.84,55.98,29.3,16.68,45.98,421
95.6,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Dam Rehabilitation and Improvement Programme,4.08,18.92,23,4.4,100,0.24,49.76,50,4.28,20.72,25,422
0,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",National Ganga Plan and Ghat Works,0,1394.03,1394.03,0,0,0,0,0,0,0,0,423
2800,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",National Ganga Plan,0,0,0,0,2800,0,4000,4000,0,2500,2500,424
0,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",National River Conservation Plan,0,498.67,498.67,0,0,0,0,0,0,0,0,425
96.68,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",River Basin Management,0.17,168.14,168.31,0.32,97,2.88,107.12,110,0.16,101.48,101.64,426
162.28,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Development of Water Resources Information System,24.95,130.28,155.23,22.72,185,12.7,149.43,162.13,11.5,128.5,140,427
128.03,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Ground Water Management and Regulation,89.05,79.94,168.99,246.97,375,223.78,106.22,330,190,125,315,428
758.4,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",National Hydrology Project,17.33,371.41,388.74,41.6,800,38.2,461.8,500,25,487.51,512.51,429
41.65,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Research and Development and Implementation of National Water Mission,4.45,26.34,30.79,11.23,52.88,11.42,38.58,50,6.85,28.15,35,430
0,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",HRD/Capacity Building Programme,0.03,4.57,4.6,0,0,0,0,0,0,0,0,431
0,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Infrastructure Development,5.06,0,5.06,0,0,0,0,0,0,0,0,432
700,Demand No. 62,"Department of Water Resources, River Development and Ganga Rejuvenation",Atal Bhujal Yojna,0,0,0,0,700,0,1000,1000,0,700,700,433
89,Demand No. 64,Ministry of Labour and Employment,Labour and Employment Statistical System (LESS),0,39.98,39.98,0,89,0,110,110,0,80,80,434
120,Demand No. 64,Ministry of Labour and Employment,Labour Welfare Scheme,0.35,63.87,64.22,0,120,0,75,75,0,120,120,435
0.1,Demand No. 64,Ministry of Labour and Employment,Bima Yojana for Unorganised Workers,0,0,0,0,0.1,0,0,0,0,0.01,0.01,436
8485,Demand No. 64,Ministry of Labour and Employment,"Employees Pension Scheme, 1995",0,18478.33,18478.33,0,8485,0,9167,9167,0,8485,8485,437
60,Demand No. 64,Ministry of Labour and Employment,Social Security for Plantation Workers in Assam,0,50,50,0,60,0,60,60,0,60,60,438
350,Demand No. 64,Ministry of Labour and Employment,Pradhan Mantri Shram Yogi Maandhan,0,324.23,324.23,0,350,0,350,350,0,350,350,439
50,Demand No. 64,Ministry of Labour and Employment,Pradhan Mantri Karam Yogi Maandhan,0,0.24,0.24,0,50,0,3,3,0,10,10,440
6400,Demand No. 64,Ministry of Labour and Employment,Aatmanirbhar Bharat Rojgar Yojana,0,3930.61,3930.61,0,6400,0,2272.82,2272.82,0,5758.06,5758.06,441
500,Demand No. 64,Ministry of Labour and Employment,National database for Unorganized Workers,0,255.24,255.24,0,500,0,300,300,0,400,400,442
30,Demand No. 64,Ministry of Labour and Employment,National Child Labour Project including grants in aid to voluntary agencies and reimbursement of assistance to bonded labour,0,22.14,22.14,0,30,0,20,20,0,30,30,443
0,Demand No. 64,Ministry of Labour and Employment,"Coaching and Guidance for SC,ST and Other Backward Classes",0,0,0,0,0,0.5,24.5,25,0,0,0,444
0,Demand No. 64,Ministry of Labour and Employment,National Career Services,0,0,0,0,0,0,52,52,0,0,0,445
40,Demand No. 65,Law and Justice,Designing Innovative Solutions for Holistic Access to Justice in India(DISHA),0,39.96,39.96,0,40,0,40,40,0,48.15,48.15,446
0,Demand No. 65,Law and Justice,e-Courts Phase II,0,98.29,98.29,0,0,0,0,0,0,0,0,447
1,Demand No. 65,Law and Justice,e-Courts Phase III,0,0,0,0,1,0,0.01,0.01,0,0.01,0.01,448
0,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Khadi Grant (KG),0,374.25,374.25,0,0,0,0,0,0,0,0,449
334,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Scheme for Fund for Regeneration of Traditional Industries (SFURTI),0,372.37,372.37,0,334,0,280,280,0,1.95,1.95,450
80,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Coir Vikas Yojana,0,79.81,79.81,0,80,0,92,92,0,87.14,87.14,451
5.04,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Solar Charkha Mission,0,0,0,0,5.04,0,0,0,0,0,0,452
0,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Khadi Vikas Yojana,0,305.53,305.53,0,0,0,0,0,0,0,0,453
0,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Gramodyog Vikas Yojana,0,56.63,56.63,0,0,0,0,0,0,0,0,454
748.99,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Khadi Gramodyog Vikas Yojana,0,0,0,0,748.99,0,917,917,0,735.86,735.86,455
20,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises","ASPIRE (Promotion of Innovation, Rural Industry and Entrepreneurship)",0,8.64,8.64,0,20,0,22.23,22.23,0,4,4,456
0,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Credit Linked Capital Subsidy and Technology Upgradation Scheme,0,112.61,112.61,0,0,0,0,0,0,0,0,457
60.72,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",MSME Champions Scheme,0,875,875,0,60.72,0,52.72,52.72,0,51.81,51.81,458
2500,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Prime Minister Employment Generation Programme (PMEGP),0,2889.37,2889.37,0,2500,0,2700,2700,0,2484.01,2484.01,459
0.08,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Credit Support Programme,0,1680,1680,0,0.08,0,500.08,500.08,0,0.08,0.08,460
0.04,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Interest Subvention Scheme for Incremental Credit to MSMEs,0,0,0,0,0.04,0,0,0,0,0,0,461
100,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Distressed Assets Fund,0,0,0,0,100,0,0.04,0.04,0,0.04,0.04,462
15000,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Guarantee Emergency Credit Line (GECL) facility to eligible MSME borrowers,0,7445,7445,0,15000,0,14100,14100,0,10500,10500,463
0,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Credit Linked Capital Subsidy (CLCS),0,0,0,0,0,0,1.06,1.06,0,0,0,464
24.96,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Procurement and Marketing Support Scheme,0,5.17,5.17,0,24.96,0,96.35,96.35,0,40,40,465
13,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",International Cooperation Scheme,0,3.25,3.25,0,13,0,0,0,0,12,12,466
0,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises","Studies, Publicity & International Cooperation (SPIC)",0,0,0,0,0,0,36.07,36.07,0,0,0,467
10.41,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Mahatma Gandhi Institute for Rural Industrialisation,0,7.5,7.5,0,10.41,0,0,0,0,8.5,8.5,468
182.82,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Promotional Services Institutions and Programme,0,130.66,130.66,0,182.82,0,0,0,0,185.62,185.62,469
6.76,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises","Information, Education and Communication",0,2.94,2.94,0,6.76,0,0,0,0,4,4,470
32,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Assistance to Training Institutions,0,47.96,47.96,0,32,0,30,30,0,22,22,471
NA,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Fund of Funds,180.35,0,180.35,486,486,575,0,575,439.4,0,439.4,472
0,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Entrepreneurship cum Skill Development Programme (ESDP),0,0,0,0,0,0,80,80,0,0,0,473
0,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Infrastructure Development and Capacity Building,0,244.49,244.49,0,0,0,0,0,0,0,0,474
568.03,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Infrastructure Development and Capacity Building.,0,0,0,20,588.03,0,0,0,0,289,289,475
80,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Establishment of New Technology Centres,0,24.58,24.58,0,80,0,450,450,0,10,10,476
0,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Infrastructure Development and Capacity Building- EAP Component,0,144.76,144.76,0,0,0,0,0,0,0,0,477
205,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Technology Centre Systems Programme (TCSP) EAP,0,0,0,0,205,0,350,350,0,124,124,478
0,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Construction of Office Accomodation- Capital Outlay on Public Works,12.21,0,12.21,0,0,0,0,0,18,0,18,479
723,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Raising and Accelerating MSME Performance - RAMP,0,0,0,0,723,0,1170,1170,0,455.01,455.01,480
0,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Micro and Small Enterprise-Cluster Development Programme (MSE-CDP),0,0,0,0,0,0,150,150,0,0,0,481
0,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Tool Rooms & Technical Institutions (TR/TIs),0,0,0,0,0,0,100,100,0,0,0,482
0,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Promotion of MSMEs in NER and Sikkim,0,0,0,0,0,0,50,50,0,0,0,483
2,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",Database Research Evaluation and Other Office Support Programme,0,0.24,0.24,0,2,0,0,0,0,2,2,484
5,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises","Survey, Studies and Policy Research",0,1.95,1.95,0,5,0,0,0,0,1.55,1.55,485
150,Demand No. 68,"Ministry of Micro, Small and Medium Enterprises",National Schedule Caste/Schedule Tribe Hub Centre,0,101.87,101.87,0,150,0,100,100,0,90,90,486
15,Demand No. 70,Ministry of Minority Affairs,Quami Waqf Board Taraqqiati Scheme and Sahari Waqf Sampati Vikas Yojna,0,7.72,7.72,0,15,0,17,17,0,15,15,487
2515,Demand No. 70,Ministry of Minority Affairs,Education  Empowerment,0,2249.9,2249.9,0,2515,0,1689,1689,0,1584.49,1584.49,488
332.91,Demand No. 70,Ministry of Minority Affairs,Skill  Development and Livelihoods,100,399.01,499.01,159,491.91,61,3.4,64.4,159,171,330,489
53,Demand No. 70,Ministry of Minority Affairs,Special  Programmes of Minorities,0,21.84,21.84,0,53,0,26.1,26.1,0,32,32,490
NA,Demand No. 70,Ministry of Minority Affairs,PM-Viraasat Ka Samvardhan (PM VIKAS),0,0,0,0,0,0,540,540,0,0,0,491
61.5,Demand No. 71,Ministry of New and Renewable Energy,Solar Power (Off-Grid),0,160.24,160.24,0,61.5,0,361.5,361.5,0,61.5,61.5,492
0.1,Demand No. 71,Ministry of New and Renewable Energy,Other Renewable Energy Applications (OREA),0,0.06,0.06,0,0.1,0,0,0,0,0.1,0.1,493
124.36,Demand No. 71,Ministry of New and Renewable Energy,Interest Payment and Issuing Expenses on the Bonds,0,124.35,124.35,0,124.36,0,0,0,0,124.35,124.35,494
50,Demand No. 71,Ministry of New and Renewable Energy,Hydro Power (Grid),0,27.73,27.73,0,50,0,30,30,0,20,20,495
2,Demand No. 71,Ministry of New and Renewable Energy,Hydro Power (Off-Grid),0,0.28,0.28,0,2,0,1,1,0,1,1,496
300,Demand No. 71,Ministry of New and Renewable Energy,Green Energy Corridor,0,134.67,134.67,0,300,0,500,500,0,250,250,497
0,Demand No. 71,Ministry of New and Renewable Energy,Bio Energy Programme,0,0,0,0,0,0,381.85,381.85,0,0,0,498
0,Demand No. 71,Ministry of New and Renewable Energy,Support Programme,0,0,0,0,0,0,123,123,0,0,0,499
1715.9,Demand No. 71,Ministry of New and Renewable Energy,Kisan Urja Suraksha evam Utthaan Mahabhiyan (KUSUM ),0,406.04,406.04,0,1715.9,0,1996.46,1996.46,0,1325,1325,500
0.01,Demand No. 71,Ministry of New and Renewable Energy,National Green Hydrogen Mission,0,0,0,0,0.01,0,297,297,0,0.01,0.01,501
3304.03,Demand No. 71,Ministry of New and Renewable Energy,Solar Power (Grid),0,2042.22,2042.22,0,3304.03,0,4970,4970,0,3469.61,3469.61,502
1050,Demand No. 71,Ministry of New and Renewable Energy,Wind Power (Grid),0,1100,1100,0,1050,0,1214,1214,0,1413,1413,503
50,Demand No. 71,Ministry of New and Renewable Energy,Bio Power (Grid),0,53.45,53.45,0,50,0,0,0,0,52.46,52.46,504
20,Demand No. 71,Ministry of New and Renewable Energy,Bio Power (Off-Grid),0,36.44,36.44,0,20,0,0,0,0,12,12,505
30,Demand No. 71,Ministry of New and Renewable Energy,Biogas Programme (Off-Grid),0,7.28,7.28,0,30,0,0,0,0,20,20,506
0.1,Demand No. 71,Ministry of New and Renewable Energy,Monitoring and Evaluation,0,0,0,0,0.1,0,0,0,0,0.01,0.01,507
6,Demand No. 71,Ministry of New and Renewable Energy,Information and Public Advertising (I&PA),0,0.57,0.57,0,6,0,0,0,0,3,3,508
30.93,Demand No. 71,Ministry of New and Renewable Energy,Human Resources Development and Training,0,20.01,20.01,0,30.93,0,0,0,0,20.01,20.01,509
8,Demand No. 71,Ministry of New and Renewable Energy,International Relations,0,3.2,3.2,0,8,0,0,0,0,3.2,3.2,510
35,Demand No. 71,Ministry of New and Renewable Energy,Research and Development,0,26.92,26.92,0,35,0,0,0,0,45,45,511
3,Demand No. 72,Ministry of Panchayati Raj,Action Research,0,0,0,0,3,0,0,0,0,0,0,512
0.2,Demand No. 72,Ministry of Panchayati Raj,International Contribution,0,0,0,0,0.2,0,0,0,0,0,0,513
10,Demand No. 72,Ministry of Panchayati Raj,Media and Publicity,0,0,0,0,10,0,0,0,0,0,0,514
150,Demand No. 72,Ministry of Panchayati Raj,Svamitva,0,139.99,139.99,0,150,20.54,55.46,76,0,105,105,515
132.41,Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Training Schemes,63.03,40.29,103.32,78.34,210.75,41.79,34.02,75.81,78.34,105.68,184.02,516
0,Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",National Programme for Civil Services Capacity Building,0,0,0,0,0,10.37,95.32,105.69,0,0,0,517
44.25,Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Administrative Reforms and Pensioners' Scheme,0,17.32,17.32,0,44.25,0,0,0,0,45.23,45.23,518
0,Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Scheme for Administrative Reforms,0,0,0,0,0,0,21.75,21.75,0,0,0,519
0,Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Pensioner's Portal,0,0,0,0,0,0,3.5,3.5,0,0,0,520
0,Demand No. 74,"Ministry of Personnel, Public Grievances and Pensions",Integrated Building for Institute of Secretariat Training and Management (ISTM) and other Institute of Department of Personnel and Training (DoPT),0,0,0,0,0,20,0,20,0,0,0,521
1.11,Demand No. 76,Ministry of Petroleum and Natural Gas,Payment of differential royalty to State Governments,0,0.88,0.88,0,1.11,0,0,0,0,1.11,1.11,522
NA,Demand No. 76,Ministry of Petroleum and Natural Gas,Indian Strategic Petroleum Reserve Limited (ISPRL) Phase II (Construction of Cavems),210,0,210,600,600,508,0,508,40.01,0,40.01,523
0,Demand No. 76,Ministry of Petroleum and Natural Gas,Payment to Indian Strategic Petroleum Reserve Limited (ISPRL) for Crude Oil Reserve,0,0,0,0,0,5000,0,5000,0,0,0,524
210.58,Demand No. 76,Ministry of Petroleum and Natural Gas,Payment to ISPRL for Strategic Crude Oil Reserve (O and M),0,129.49,129.49,0,210.58,0,202.81,202.81,0,178.87,178.87,525
314.36,Demand No. 76,Ministry of Petroleum and Natural Gas,Pradhan Mantri JI-VAN Yojna,0,151.5,151.5,0,314.36,0,227.26,227.26,0,83.34,83.34,526
1,Demand No. 76,Ministry of Petroleum and Natural Gas,National Bio-Fuel Fund,0,0,0,0,1,0,0,0,0,0.01,0.01,527
4000,Demand No. 76,Ministry of Petroleum and Natural Gas,Direct Benefit Transfer - LPG,0,177.06,177.06,0,4000,0,180,180,0,180,180,528
800,Demand No. 76,Ministry of Petroleum and Natural Gas,LPG Connection to Poor Households,0,1568.44,1568.44,0,800,0,0.01,0.01,0,8010,8010,529
811,Demand No. 76,Ministry of Petroleum and Natural Gas,Other subsidy payable including for North Eastern Region,0,391,391,0,811,0,1633.02,1633.02,0,811,811,530
137.5,Demand No. 76,Ministry of Petroleum and Natural Gas,Feedstock Subsidy to BCPL/Assam Gas Cracker Complex,0,1042.92,1042.92,0,137.5,0,392.06,392.06,0,137.5,137.5,531
64,Demand No. 76,Ministry of Petroleum and Natural Gas,Project Management Expenditure,0,241.65,241.65,0,64,0,52,52,0,32,32,532
0,Demand No. 76,Ministry of Petroleum and Natural Gas,Direct  Benefit Transfer- Kerosene,0,1.53,1.53,0,0,0,0,0,0,0,0,533
0,Demand No. 76,Ministry of Petroleum and Natural Gas,Phulpur Dhamra Haldia Pipeline Project,0,589.55,589.55,0,0,0,0,0,0,0,0,534
0,Demand No. 76,Ministry of Petroleum and Natural Gas,National Seismic Programme,137.31,0,137.31,0,0,0,0,0,0,0,0,535
1798.27,Demand No. 76,Ministry of Petroleum and Natural Gas,Indradhanush Gas Grid Limited(IGGL)-part of the North East Natural Gas Pipeline Grid,0,850,850,0,1798.27,0,1800,1800,0,1798.27,1798.27,536
NA,Demand No. 76,Ministry of Petroleum and Natural Gas,Numaligarh Refinery Expansion Project,0,0,0,0,0,0,500,500,0,245,245,537
0,Demand No. 76,Ministry of Petroleum and Natural Gas,One-time Grant to PSU OMCs for under recoveries in Domestic LPG,0,0,0,0,0,0,0,0,0,22000,22000,538
0,Demand No. 76,Ministry of Petroleum and Natural Gas,Capital Support to Oil Marketing Companies,0,0,0,0,0,30000,0,30000,0,0,0,539
0,Demand No. 76,Ministry of Petroleum and Natural Gas,Scheme for promotion of flagging of merchant ships in India,0,0,0,0,0,0,290.44,290.44,0,215.62,215.62,540
145.31,Demand No. 77,Ministry of Planning,Atal Innovation Mission(AIM) including Self Employment and Talent Utilization (SETU),0,341.96,341.96,10,155.31,10.7,144.3,155,20,323.21,343.21,541
6,Demand No. 77,Ministry of Planning,Ongoing Programme and Schemes,0,584.39,584.39,0.75,6.75,0,4,4,0.3,4,4.3,542
0.01,Demand No. 77,Ministry of Planning,Official Development Assistance for Sustainable Development Goals (EAP Component),0,0,0,0,0.01,0,433,433,0,500,500,543
0,Demand No. 77,Ministry of Planning,State Support Mission,0,0,0,0,0,0.3,39.7,40,0,0.5,0.5,544
1,Demand No. 78,"Ministry of Ports, Shipping and Waterways",Research and Development (Ports),0,1,1,0,1,0,1.03,1.03,0,1,1,545
412.79,Demand No. 78,"Ministry of Ports, Shipping and Waterways",Sagarmala,100,355.56,455.56,0,412.79,130,320,450,124.22,388.57,512.79,546
112,Demand No. 78,"Ministry of Ports, Shipping and Waterways","Assistance to Ship Building, Research and Development",0,104.91,104.91,0,112,0,112,112,0,104,104,547
20,Demand No. 78,"Ministry of Ports, Shipping and Waterways",Grants to Inland Water Transport Authority of India,0,4.14,4.14,0,20,0,15,15,0,10,10,548
